1395	7815	1313	4799	622	-1	
868	5956	843	4966	434	-1	
2237	8889	2216	5691	-80	1	
915	7185	645	4548	812	1	
985	7298	732	4476	932	-1	
1817	6546	1736	5123	343	1	
1025	7143	949	4880	489	-1	
1657	7142	1621	5009	-22	-1	
1100	6103	1090	4189	340	-1	
2195	7840	2154	5585	-147	1	
1368	8981	1303	5494	591	-1	
1071	7102	945	4852	800	-1	
925	5998	875	4755	628	-1	
705	5021	470	3865	1108	-1	
1283	7283	1152	4905	308	-1	
1470	7146	1431	4957	-166	-1	
1485	5614	1400	4503	644	-1	
2355	9502	2357	5492	61	1	
1486	5845	1458	4929	16	-1	
902	5160	877	4369	87	-1	
1045	6478	998	4303	497	1	
1577	6041	1573	4747	-306	-1	
2419	7237	877	4929	732	1	
1639	7254	1312	4960	702	1	
882	6939	861	4797	439	-1	
1455	7361	1411	5313	-158	-1	
915	5190	869	3976	777	-1	
2908	7027	2765	4437	465	1	
969	7148	958	4925	-123	-1	
998	6681	1000	4912	-255	-1	
1414	6590	1424	5224	-302	1	
630	4929	562	4250	1049	-1	
975	6612	922	4169	755	1	
91	5633	85	4267	346	-1	
2957	7926	2830	5691	-259	1	
1474	7457	1416	5105	78	-1	
1775	7600	1493	4691	653	1	
906	6854	861	3962	787	-1	
1182	5774	1119	4390	783	-1	
0	5279	0	3857	239	-1	
1484	6649	1418	4666	426	-1	
905	5558	890	4565	251	-1	
975	7258	796	4776	604	-1	
962	7547	904	5298	505	1	
3700	10285	3641	6509	-64	1	
893	5560	870	4579	242	-1	
2515	7805	2491	5940	-279	1	
1444	7646	1418	5359	-257	-1	
958	7322	959	4976	4	-1	
2225	7824	2212	5089	-391	1	
3039	7153	2897	4629	294	1	
4026	7642	3887	5503	161	1	
1209	7230	1229	4981	-323	-1	
2403	7460	2375	5452	-241	1	
2818	7981	2890	5810	-121	1	
937	5509	880	4042	641	-1	
1125	7648	1140	5547	-412	-1	
1517	8354	1541	5403	-105	-1	
1100	6661	1100	4751	-404	-1	
2233	8809	2092	5472	548	-1	
1121	8090	1098	5513	215	-1	
1540	7324	1487	4668	211	-1	
2902	8032	2800	5574	117	1	
1561	7759	1568	5342	-467	1	
1840	8294	1827	4866	294	1	
1414	7159	1352	4797	474	-1	
1502	7169	1484	4695	136	-1	
2845	7953	2800	5575	-175	1	
2950	8468	2872	5949	-85	1	
3188	8306	3237	4983	-196	1	
3338	6907	3208	5181	289	1	
1218	7653	706	4774	800	-1	
926	6518	887	4167	547	-1	
1759	7023	730	4491	444	-1	
1548	7960	1425	4689	908	-1	
2298	7674	2186	4881	424	1	
931	5851	889	4800	550	-1	
2912	7968	2769	5181	222	1	
4870	7951	4709	5579	-71	1	
1180	7064	1148	4938	-138	1	
2395	7935	2331	5639	-106	1	
1552	9025	1559	5404	-278	-1	
983	6956	765	4831	500	-1	
1042	6485	1003	4613	121	1	
944	7405	943	5015	-38	-1	
1887	6878	1837	4535	23	1	
1461	6185	1408	4736	314	-1	
1110	8612	1024	5432	837	-1	
1336	7040	1318	5229	-214	-1	
3843	7729	3616	5293	836	1	
1735	8839	1705	5400	349	-1	
1006	6566	971	4562	330	-1	
1427	7750	1333	4389	685	-1	
1293	8048	1232	4634	659	1	
1119	8573	1063	5509	328	-1	
1362	6838	695	4262	1010	1	
1144	6072	1064	4601	-13	1	
1626	8369	1558	5349	193	1	
1306	6010	1234	4527	698	-1	
960	6740	926	4796	676	-1	
1656	6046	1536	4890	735	-1	
2377	7332	1628	4757	608	1	
3335	7712	3325	5282	-267	1	
2912	7584	2772	5150	305	1	
1090	7044	990	4663	995	-1	
2115	7496	2035	5457	144	-1	
1079	7020	1067	4527	239	-1	
906	7574	898	5127	207	-1	
1147	7137	1144	5002	84	-1	
2526	8272	2488	5783	-133	1	
1122	6986	1097	5133	-145	1	
992	5702	960	4490	874	-1	
2293	7593	2241	5608	-65	1	
1074	5842	1026	4708	642	-1	
1724	6319	1520	5067	615	-1	
3720	8134	3632	5256	247	1	
1725	7842	1644	5492	215	-1	
1483	7387	1494	5249	-398	-1	
906	6855	863	5015	570	-1	
2952	7920	2893	5287	-123	1	
964	7767	945	5683	-148	-1	
2552	8308	2556	5438	-544	1	
938	7260	727	4466	732	-1	
1445	6550	1354	4211	734	1	
908	6342	524	4451	973	-1	
969	6907	940	4219	811	-1	
2698	6124	2593	4924	204	1	
1026	6509	953	4330	643	1	
971	6965	833	5180	641	-1	
1037	8392	1014	5873	-139	1	
929	7967	870	5833	388	-1	
2120	9113	2032	5515	583	1	
976	7887	938	5415	207	-1	
1543	5855	1462	4505	530	-1	
987	6382	479	4301	1008	1	
1168	7516	1184	5545	-465	-1	
1472	6443	1389	4310	575	1	
898	5154	872	3888	437	-1	
1376	6822	1317	4952	177	-1	
1765	7190	1682	4679	383	1	
1323	5809	981	4562	865	-1	
1142	7280	995	4956	800	-1	
1766	8145	1821	5344	-562	1	
1283	8795	1244	5602	453	1	
980	5866	405	4221	865	-1	
4572	7830	4394	5531	168	1	
2021	7271	2011	5086	-254	1	
1525	6602	1440	4446	666	-1	
2639	7346	2587	4970	-197	1	
1332	7151	1270	4733	328	1	
1008	6664	987	4688	372	1	
1864	7665	1855	5312	-210	1	
1033	6843	676	4534	908	1	
1089	7541	1089	5481	-194	-1	
990	7699	988	5390	-295	-1	
1100	7912	1039	5474	492	-1	
959	6194	403	4154	911	-1	
934	6997	823	4468	864	-1	
18157	8987	7119	5506	715	1	
2414	7980	2434	5438	-178	1	
2768	7530	2733	5580	-403	1	
874	5930	737	4250	955	-1	
1413	6180	1342	4612	477	1	
1233	7037	1197	4757	-125	1	
1208	8544	1177	5720	244	1	
830	5899	551	4822	775	-1	
1278	6252	1198	4448	776	-1	
3054	8366	2923	5225	577	1	
2451	6598	2377	5218	229	1	
1267	6816	1229	4508	-32	1	
1160	7717	1156	5414	-329	-1	
1602	6905	1522	4373	674	-1	
934	5120	894	4140	396	-1	
893	5616	856	4319	761	-1	
1860	7443	1750	5458	328	-1	
1332	8976	1312	5257	420	-1	
2949	8688	2936	5794	-63	1	
1000	7414	995	5059	54	-1	
918	7133	907	5484	-248	-1	
1011	6084	997	4396	203	-1	
1489	5515	1393	4551	525	-1	
1180	7899	1160	5510	213	1	
988	5255	306	3783	565	1	
2172	8336	2159	5405	152	1	
1815	7776	1775	5268	246	1	
2500	7574	2426	5495	11	1	
3179	7472	3201	5694	-383	1	
1098	6932	1048	4769	866	-1	
1151	7062	1045	4934	630	-1	
1520	7640	1095	4669	652	-1	
963	6713	911	4898	469	-1	
2123	5866	1991	4755	729	-1	
3199	8292	3088	5540	105	1	
2957	8694	2447	5377	501	1	
1174	6209	1083	4884	801	-1	
2616	7895	2318	5568	122	-1	
2808	8271	2722	5673	216	1	
843	6356	815	4463	760	-1	
7201	8604	6993	5557	86	1	
1496	6138	1417	4714	566	-1	
1843	7714	1800	5462	-281	1	
2318	6983	2290	5303	-152	1	
952	6430	922	4308	895	-1	
2506	9350	2384	5788	483	1	
2918	8689	2820	6074	-107	1	
4430	8466	4359	5061	137	1	
1155	8202	1156	5709	-153	1	
1317	8223	1267	5331	404	1	
2911	7699	2881	5650	-253	1	
1453	6044	1386	4879	465	-1	
1394	6296	470	4306	400	1	
3016	8262	2904	5362	-91	1	
1309	8010	1261	6006	-104	1	
929	5126	878	4155	738	-1	
3198	10218	3041	6228	186	-1	
1068	8873	979	5430	725	-1	
3463	8371	3431	5615	-19	1	
960	7631	886	4435	716	-1	
1340	8921	1293	5896	158	1	
1420	5312	1368	4341	315	-1	
1036	7077	963	4969	495	-1	
938	7727	776	5171	605	-1	
1342	7519	1247	4615	873	-1	
790	5309	582	4489	800	-1	
1016	6316	928	4781	450	1	
686	4976	490	4025	975	-1	
932	7691	924	5342	131	-1	
2273	7980	2169	5197	433	1	
1030	6151	959	4287	727	-1	
802	6076	232	3911	1007	-1	
1484	7355	1410	4846	954	1	
964	7880	970	5469	-36	-1	
990	6536	979	3932	505	-1	
1420	7305	1346	5082	223	-1	
935	6834	900	4493	681	-1	
1346	5791	1276	4684	425	-1	
1648	9256	1555	5841	442	-1	
954	8100	932	5856	-97	1	
687	5473	662	4597	669	-1	
1508	8526	1487	5253	404	-1	
1038	8522	974	5883	125	-1	
1100	6620	748	4398	945	-1	
1446	9187	1386	5562	240	1	
1949	7791	172529	6441	-462	-1	
916	7557	880	4678	336	-1	
948	5483	595	4543	853	1	
2803	8893	2737	6081	-84	-1	
1300	7711	1266	5254	67	-1	
1146	6316	1122	4651	525	-1	
2483	7743	2400	5645	68	1	
2437	7922	2260	5071	637	1	
895	7273	404	4534	908	1	
1037	6802	1041	4927	-203	-1	
2810	8414	2683	5401	567	1	
960	8436	982	5682	-38	-1	
997	6236	369	4188	907	1	
1051	7769	1074	5610	-306	1	
1262	8449	1049	5202	647	-1	
1201	7395	1189	4913	-44	1	
1284	8094	859	5006	800	-1	
2515	8040	967	4738	500	1	
1502	7844	1496	5306	-809	1	
4010	9347	3881	6317	-106	1	
1100	6778	1087	4354	-88	1	
982	8348	967	5728	-314	-1	
1589	7491	1562	5493	-66	-1	
2838	10334	2828	6124	-18	1	
4534	9406	4276	6024	505	1	
822	5427	657	3631	1054	-1	
1887	5577	1787	4320	661	-1	
1043	5834	957	3940	931	-1	
